disc,model,h,window,n_fit,n_test,qlike_R,qlike_U,rel_impr_pct
event_driven,D2_gated_fusion,20,calm_2021,6088,22318,0.06366098097450881,0.06324554270014421,0.6525791277563799
event_driven,D2_gated_fusion,20,covid_2020,7013,22318,0.08506304675480832,0.08702283427801327,-2.3039234990653283
event_driven,D2_gated_fusion,20,alt_2018_19,12183,22318,0.06648060192451175,0.06460551546178353,2.820501632727938
event_driven,D4_llmfused,5,committed_val,13489,23855,0.12326885849386293,0.12312834601275462,0.11398862845420997
event_driven,D4_llmfused,5,calm_2021,6386,23855,0.12792659212169338,0.12813196278505828,-0.16053789908632685
event_driven,D4_llmfused,5,covid_2020,7103,23855,0.12497419520851348,0.12479135466655637,0.14630263603782126
event_driven,D4_llmfused,10,committed_val,13131,22785,0.08687148408001942,0.08689717677281387,-0.02957551959258387
event_driven,D4_llmfused,10,calm_2021,6177,22785,0.08895290504503331,0.0888782708034377,0.08390309631576874
event_driven,D4_llmfused,10,covid_2020,6954,22785,0.09401408969450287,0.09401298623301453,0.0011737192711450313
event_driven,D4_llmfused,20,committed_val,13101,22318,0.06335556711333284,0.06350939334148166,-0.24279828144170013
event_driven,D4_llmfused,20,calm_2021,6088,22318,0.06366098097450881,0.0635590901747881,0.16005219863249168
event_driven,D4_llmfused,20,covid_2020,7013,22318,0.08506304675480832,0.08532536524410182,-0.3083812528484092
