permno,cik,link_start,link_end
13821,0000077385,1962-01-31,2007-02-21
13822,0000350190,1981-03-23,1987-06-11
13823,0001545772,2013-04-15,2021-07-30
13825,0001177648,2013-03-21,
13826,0001509892,2013-03-27,2020-10-30
13827,0001562214,2013-03-22,2015-03-17
13827,0001562214,2015-03-18,2018-05-31
13828,0001546296,2013-03-05,
13829,0001373707,2013-03-20,2020-07-31
13830,0001024657,2013-03-22,2017-10-31
13831,0001562039,2013-05-02,2017-06-27
13832,0001558633,2013-04-29,2014-07-24
13835,0001566388,2013-04-26,
13836,0001565381,2013-04-26,
13837,0001559865,2013-04-12,
13843,0001561894,2013-04-30,
13844,0001433607,2013-04-11,
13849,0000717037,1984-08-21,1985-04-30
13856,0000077476,1950-01-01,1962-01-30
13856,0000077476,1962-01-31,
13858,0001313911,2013-04-12,2015-07-31
13860,0001564902,2013-04-30,
13861,0001547063,2013-04-18,2014-12-31
13862,0001562476,2013-04-10,
13863,0000025743,2013-04-23,
13866,0001525773,2013-04-18,2022-02-28
13867,0001564180,2013-04-10,
13869,0001394156,2013-04-18,2020-02-28
13870,0001117480,2013-04-11,2025-04-30
13873,0000893769,1972-12-14,1978-11-30
13874,0001555492,2013-04-17,2016-07-07
13875,0001411488,2013-04-19,2014-05-31
13875,0001411488,2014-06-01,2015-04-30
13875,0001411488,2015-05-01,2018-06-29
13876,0001567345,2013-04-23,2022-09-30
13877,0001564618,2013-04-03,2025-01-31
13878,0001376339,2013-04-25,2018-11-07
13878,0001376339,2020-11-04,
13879,0000854800,2013-04-24,
13881,0000314306,1980-05-01,1984-01-27
13882,0001477598,2013-04-11,2013-07-31
13883,0001544227,2013-04-30,2018-12-09
13883,0001544227,2018-12-10,2021-06-27
13883,0001544227,2021-06-28,
13885,0001553326,2013-04-10,
13886,0001548981,2013-05-09,2016-03-31
13887,0001569187,2013-05-08,
13889,0001297587,2013-05-21,2015-12-17
13889,0001297587,2015-12-18,2018-10-31
13890,0001169652,2013-05-23,2022-11-30
13891,0001391636,2013-05-09,2015-07-31
13894,0001560672,2013-05-01,
13895,0001555177,2013-05-09,2019-05-30
13896,0000357097,2013-05-17,2019-12-31
13897,0001567569,2013-05-24,
13898,0001559991,2013-05-24,
13901,0000764180,1950-01-01,1962-01-30
13901,0000764180,1962-01-31,
13902,0000005951,1981-01-01,1981-01-29
13902,0000005951,1981-01-30,1987-04-30
13903,0001533526,2013-05-23,2019-07-31
13904,0001535929,2013-05-02,
13905,0001568292,2013-05-29,2023-03-31
13906,0001095996,2013-05-16,2020-02-28
13907,0001556593,2013-05-16,
13908,0001745916,2013-05-09,
13909,0001284807,2013-05-23,2018-04-30
13911,0001478242,2013-05-09,
13914,0001303652,2013-05-17,2019-07-31
13915,0001569134,2013-05-14,2018-06-30
13916,0001555365,2013-09-24,2013-09-24
13917,0001563411,2013-05-23,
13918,0001768224,2013-05-22,2017-11-15
13918,0001768224,2017-11-16,
13919,0000874501,2013-05-01,
13920,0001131543,2013-05-16,2014-11-28
13921,0001488813,2013-05-16,
13924,0001571498,2013-05-31,2022-08-31
13926,0001351288,2013-05-02,2021-05-28
13927,0001559909,2013-05-03,2021-06-30
13928,0001163165,1950-01-01,1962-01-30
13928,0001163165,1962-01-31,
13930,0001567529,2013-05-31,
13931,0000832488,2013-05-13,2019-10-31
13932,0001490660,2013-05-17,2016-08-31
13933,0001566844,2013-05-28,2018-12-31
13934,0001496631,2013-05-10,2021-01-29
13935,0000070487,2013-05-23,2013-10-31
13935,0000070487,2013-11-01,
13936,0000078239,1950-01-01,1962-02-27
13936,0000078239,1962-02-28,
13938,0001288359,2013-05-28,2021-03-31
13939,0001137091,2013-05-28,
13940,0001269021,2013-05-22,2020-07-31
13941,0001561566,2013-05-03,
13942,0001463729,2013-05-09,2015-08-31
13943,0001380846,2013-05-09,2022-06-30
13945,0000277592,1979-06-25,1990-07-30
13946,0001550935,2013-05-16,2020-02-28
13947,0001293971,2013-06-19,2025-06-30
13949,0001402057,2013-06-27,
13953,0000006009,1972-12-14,1982-10-15
13954,0001434868,2013-06-26,
13956,0001537054,2013-06-21,
13957,0001573097,2013-06-27,2020-12-31
13958,0001571088,2013-06-27,2014-12-31
13959,0001275158,2013-06-28,
13961,0000723198,1974-01-01,1978-01-30
13961,0000723198,1978-01-31,1990-03-30
13962,0001401708,2013-06-26,2024-06-28
13963,0001564708,2013-07-01,
13964,0001564708,2013-07-01,
13965,0001173281,2013-06-13,2019-07-14
13965,0001173281,2019-07-15,2024-05-31
13966,0001509190,2013-06-27,2019-07-31
13967,0001070081,2013-06-20,
13968,0001574111,2013-06-28,2015-02-27
13969,0001549966,2013-06-27,
13970,0001564709,2013-06-20,2024-05-31
13976,0001009891,2013-06-12,
13977,0001534287,2013-06-10,2018-02-07
13977,0001534287,2017-05-31,2018-02-07
13978,0001429937,2013-06-06,
13980,0000020972,1972-12-14,1992-03-31
13981,0001570318,2013-06-26,2018-11-30
13982,0001425923,2013-06-20,2014-02-28
13983,0001024305,2013-06-13,
13987,0001532619,1977-01-31,
13990,0001573698,2013-06-26,2021-06-30
13992,0001484504,2013-06-12,2017-12-29
13993,0001315255,2013-06-17,2021-07-01
13994,0001551949,2013-06-26,2021-10-29
13998,0001569391,2013-07-05,2017-07-31
13999,0001523836,2013-06-06,
14001,0001573312,2013-06-26,2017-06-30
14003,0001557523,2013-06-26,
14004,0001568832,2013-06-05,2016-05-31
14005,0001565337,2013-06-07,2016-06-30
14006,0001375796,2013-06-27,2020-03-31
14008,0000318154,1983-06-17,
14009,0001533232,2013-06-11,
14010,0001538375,2013-06-26,2019-06-28
14011,0001567892,2013-07-01,2020-10-09
14016,0000719158,1983-06-08,1985-02-28
14017,0001566897,2013-07-19,2016-09-30
14019,0001572621,2013-07-24,2018-05-17
14019,0001572621,2018-07-06,2023-12-08
14024,0000215101,1980-12-23,1983-03-10
14026,0001573166,2013-07-24,2018-11-26
14027,0001515940,2013-07-26,
14029,0001575571,2013-07-31,2014-12-31
14030,0001567683,2013-07-17,2017-12-31
14030,0001567683,2018-01-01,
14033,0001497253,2013-07-11,
14034,0001556364,2013-07-01,
14035,0001572910,2013-07-23,2022-03-31
14036,0001574540,2013-07-19,
14037,0001571283,2013-07-19,
14039,0001308606,2013-07-18,2024-01-31
14040,0000101830,2013-07-12,2020-03-31
14041,0001574460,2013-08-01,2018-02-28
14042,0001572684,2013-07-18,2017-08-31
14043,0001574532,2013-07-25,2017-02-28
14044,0001439222,2013-07-24,
14045,0001512499,2013-07-01,2015-07-08
14045,0001512499,2015-07-09,
14046,0001383701,2013-07-25,2020-05-26
14046,0001383701,2020-05-27,2023-10-04
14049,0001575599,2013-07-26,2016-06-03
14050,0001577791,2013-07-12,2021-03-31
14051,0001476963,2013-07-24,2024-06-16
14051,0001476963,2024-08-02,2025-04-21
14052,0001482080,2013-07-25,2015-05-29
14053,0001562594,2013-07-26,2015-10-27
14054,0001576263,2013-07-15,2024-01-31
14055,0001302573,2013-07-18,2019-04-30
14056,0001130598,2013-07-25,
14057,0001475274,2013-07-19,2017-05-31
14059,0000741559,1984-05-11,2005-09-09
14060,0001565228,2013-07-19,
14061,0001562401,2013-08-01,
14062,0001574648,2013-08-02,2014-11-28
14065,0001578318,2013-08-14,2016-12-30
14066,0000081122,1950-01-01,1962-01-30
14066,0000081122,1962-01-31,1980-10-31
14071,0001466085,2013-08-13,
14072,0001356090,2013-08-08,
14075,0001576914,2013-08-09,2024-03-28
14076,0001573516,2013-09-03,
14077,0001576044,2013-08-09,2015-07-31
14086,0001574963,2013-08-09,2017-07-31
14087,0001415624,2013-08-07,2018-02-28
14088,0001576018,2013-08-15,
14089,0001575828,2013-08-09,2021-10-03
14089,0001575828,2021-10-04,
14090,0000082286,1950-01-01,1962-01-30
14090,0000082286,1962-01-31,1986-05-30
14091,0000006161,1974-01-01,1978-01-30
14091,0000006161,1978-01-31,1993-12-31
14092,0001577437,2013-08-01,
14093,0001556266,2013-08-13,2024-11-29
14094,0001349929,2013-08-14,2021-03-30
14094,0001349929,2021-03-31,2023-12-31
14095,0001259515,2013-08-02,2019-08-02
14097,0001424929,2013-08-08,
14099,0001441693,2013-08-02,2022-07-29
14101,0001311596,2013-08-22,2015-05-04
14101,0001311596,2015-05-05,2016-11-30
14102,0001575515,2013-08-01,
14104,0000723441,1983-09-13,1987-01-30
14105,0001563855,2013-08-16,2022-03-31
14106,0001574815,2013-08-09,2015-12-01
14106,0001574815,2015-12-02,2021-01-29
14107,0001430306,2013-08-09,
14112,0000353577,1981-07-22,1981-12-31
14127,0001555074,2013-09-12,2021-11-30
14127,0001555074,2022-03-21,2024-09-16
14128,0001576340,2013-09-26,2023-10-09
14131,0001577095,2013-09-20,2017-09-29
14132,0001520504,2013-09-18,
14133,0001379006,2013-09-25,
14134,0001575051,2013-09-13,2023-05-31
14135,0001141197,2013-09-10,
14136,0001384905,2013-09-27,
14137,0001384195,2013-09-03,
14139,0000354150,1981-12-03,1986-11-17
14140,0001370431,2013-09-25,2021-12-31
14141,0001571123,2013-09-30,
14142,0001583001,2013-09-30,2021-06-30
14143,0001407190,2013-09-27,2016-10-27
14144,0001567094,2013-09-30,2013-09-30
14144,0001567094,2013-10-01,
14145,0001158114,2013-09-26,
14148,0001385228,2013-09-19,2016-07-29
14149,0001576169,2013-09-18,2023-01-31
14150,0001563699,2013-09-26,2017-07-31
14151,0001571329,2013-09-25,2025-07-31
14152,0000943110,2013-09-06,2015-03-03
14153,0001575988,2013-09-16,2015-03-31
14154,0001023993,1983-12-07,1989-09-30
14154,0001023993,1989-10-01,1989-10-16
14154,0001023993,1989-10-17,2001-12-31
14155,0000106106,1981-03-31,1986-01-06
14157,0001578809,2013-09-27,2018-01-31
14158,0001403708,2013-09-25,
14159,0001370880,2013-09-20,2022-09-30
14160,0001488613,2013-09-25,2018-07-31
14161,0001175505,2013-09-18,2021-04-30
14164,0001477200,2013-09-20,2017-09-29
14165,0001375514,2013-09-26,2014-11-28
14166,0001532961,2013-09-27,
14167,0001410939,2013-09-25,2023-07-31
14168,0001561660,2013-09-27,2020-03-31
14169,0001577916,2013-09-26,2025-11-28
14171,0000719135,1985-01-01,1985-10-30
14171,0000719135,1985-10-31,1992-05-01
14172,0001449792,2013-09-19,
14173,0001579252,2013-09-30,2013-09-30
14173,0001579252,2013-10-01,2020-01-13
14174,0001648428,2013-09-24,2022-03-04
14175,0000855874,2013-09-27,2023-07-31
14176,0001280600,2013-09-19,2021-11-30
14177,0000893691,2013-09-09,2024-05-14
14179,0001433270,2013-10-10,
14180,0001572280,2013-10-29,2015-08-31
14181,0001581068,2013-10-30,
14182,0001579298,2013-10-02,
14183,0001571776,2013-10-04,
14184,0001252849,2013-10-10,2021-12-31
14185,0001320461,2013-10-17,
14190,0000006273,1972-12-14,1986-12-31
14193,0001553079,2013-10-02,
14194,0001553079,2013-10-02,
14195,0001553079,2013-10-02,
14196,0001541401,2013-10-02,
14197,0000083440,1965-01-01,1966-01-30
14197,0000083440,1966-01-31,1987-11-20
14198,0000006284,1972-12-14,2018-06-29
14209,0001525494,2013-10-31,2020-09-30
14213,0001578732,2013-10-31,
14214,0001578932,2013-10-04,2018-07-31
14215,0001581990,2013-10-16,
14218,0000847903,1950-01-01,1962-01-30
14218,0000847903,1962-01-31,1989-04-28
14219,0000006292,1976-07-21,2013-10-31
14220,0001577368,2013-10-09,2021-09-01
14221,0001581091,2013-10-02,
14224,0001514490,2013-10-18,
14227,0000006314,1973-07-01,1979-01-30
14227,0000006314,1979-01-31,2014-02-28
14228,0001525287,2013-10-25,2022-11-30
14229,0001584207,2013-10-16,
14230,0001454389,2013-10-10,2017-05-31
14231,0001393052,2013-10-16,
14232,0001582581,2013-10-18,2025-11-07
14233,0001581908,2013-10-10,2017-10-31
14235,0001448893,2013-10-31,
14236,0001161785,2013-10-17,2016-05-31
14238,0001337553,2013-10-25,2022-11-30
14239,0001517228,2013-10-25,
14240,0001576427,2013-10-30,
14244,0001237746,2013-10-25,2021-02-26
14245,0001434316,2013-10-01,
14246,0001407268,2013-10-17,2015-04-20
14247,0001575360,2013-11-01,2019-12-31
14252,0001575965,2013-11-04,
14253,0001563665,2013-11-04,2017-10-05
14254,0001128725,2013-10-31,2016-08-30
14256,0001348324,2013-10-09,2016-07-29
14257,0001125345,2013-10-09,
14258,0001195734,2013-10-04,2025-10-31
14260,0001411574,2013-10-30,2017-03-31
14261,0001553588,2013-10-09,2016-12-06
14262,0000850261,2013-10-25,2023-02-22
14263,0001384101,2013-10-30,
14266,0001282613,2013-11-20,2016-12-07
14267,0001583744,2013-11-06,2017-12-29
14268,0001574085,2013-11-20,
14271,0001348334,2013-11-06,2018-02-28
14272,0001536196,2013-11-19,
14273,0001364954,2013-11-13,
14274,0001411688,2013-11-01,2024-12-09
14276,0000031235,2013-11-01,
14277,0000087347,1957-01-01,1962-02-01
14277,0000087347,1962-02-02,
14279,0001581164,2013-11-13,2021-06-30
14280,0001517496,2013-11-22,
14286,0000006383,1972-12-14,2007-07-31
14287,0001579762,2013-11-26,2020-09-30
14288,0001580185,2013-11-08,2016-06-17
14289,0000017485,2013-11-20,2016-01-29
14290,0001361470,2013-11-07,2015-04-30
14291,0001578685,2013-11-07,2017-04-28
14292,0001582616,2013-11-07,2015-05-29
14295,0001418091,2013-11-07,2022-10-31
14296,0001579157,2013-11-22,
14297,0001579241,2013-12-02,
14298,0001582086,2013-11-06,2023-07-31
14300,0001574565,2013-11-21,
14301,0001581804,2013-11-21,
14302,0001578987,2013-11-07,
14303,0000275119,2013-11-04,2016-05-31
14304,0001575879,2013-11-19,2017-10-31
14305,0001327467,2013-11-11,2016-07-29
14306,0000088190,1960-01-01,1963-03-28
14306,0000088190,1963-03-29,1998-01-30
14307,0000006435,1977-05-31,1986-06-30
14308,0001578453,2013-11-13,
14311,0001584133,2013-11-22,2015-11-30
14312,0001580156,2013-11-14,2022-04-29
14313,0001507957,2013-11-22,
14315,0000726637,1983-11-15,1989-07-27
14316,0001503802,2013-11-06,
14317,0001580670,2013-11-07,
14318,0001547903,2013-11-08,
14319,0001586049,2013-11-22,2021-03-31
14320,0001551060,2013-11-01,2017-02-28
14321,0001416792,2013-11-15,2016-09-30
14322,0000319256,1950-02-01,1962-01-30
14322,0000319256,1962-01-31,2005-03-24
14323,0000317093,1980-06-19,2007-12-31
14324,0001581607,2013-11-07,2015-11-02
14325,0001438133,2013-11-14,
14326,0001576789,2013-11-06,
14327,0001478484,2013-11-15,2015-10-30
14328,0001411579,2013-12-18,
14329,0001584509,2013-12-12,
14331,0000352425,1981-05-26,1996-05-31
14332,0001527636,2013-12-11,
14334,0001341141,2013-12-12,2022-09-30
14335,0001582966,2013-12-13,2018-09-28
14336,0001385849,2013-12-04,
14337,0001585064,2013-12-13,2017-12-01
14338,0001585689,2013-12-12,
14339,0001307579,2013-12-03,
14340,0001452751,2013-12-13,2017-04-28
14342,0001583103,2013-12-11,2019-01-31
14344,0001587264,2013-12-12,2023-12-29
14349,0000089869,1974-01-01,1977-11-29
14349,0000089869,1977-11-30,1989-02-28
14351,0001556884,2013-12-05,2015-05-29
14352,0001561743,2013-12-12,2021-08-31
14353,0001581889,2013-12-16,2014-10-02
14353,0001606909,2014-10-03,
14355,0001063537,2013-12-13,
14356,0001361248,2013-12-12,
14357,0000089629,1950-01-01,1962-01-30
14357,0000089629,1962-01-31,1985-05-31
14358,0001431959,2013-12-16,2021-06-27
14358,0001431959,2021-06-28,
14359,0001326732,2013-12-03,
14374,0000724705,1984-08-13,1987-01-30
14378,0001412270,2014-01-24,2020-02-28
14379,0001545851,2014-01-22,2025-05-30
14380,0001587246,2014-01-15,2022-06-30
14382,0000801973,1982-01-29,1983-11-30
14382,0000801973,1983-12-01,2009-07-31
14392,0001584952,2014-01-17,2019-04-30
14393,0001587755,2014-01-31,2017-07-31
14394,0001578526,2014-01-28,2017-03-09
14400,0001574596,2014-01-31,2021-09-30
14401,0001587732,2014-02-03,
14402,0001014022,1950-01-01,1962-01-30
14402,0001014022,1962-01-31,1979-01-31
14406,0001590714,2014-01-23,
14408,0001588216,2014-01-17,2018-07-31
14409,0001588238,2014-01-24,2017-11-30
14414,0001580608,2014-01-23,2022-01-31
14415,0001579471,2014-02-03,2016-01-05
14415,0001579471,2016-01-06,2017-11-30
14416,0001586300,2014-01-17,2016-02-01
14417,0001560186,2014-01-29,2018-07-03
14418,0001581934,2014-01-16,2018-09-28
14419,0001321834,2014-01-23,2021-04-18
14419,0001321834,2021-04-19,
14421,0001588869,2014-01-27,2015-12-23
14421,0001652866,2015-12-24,
14422,0001346830,2014-01-31,
14423,0001305253,2014-01-30,2016-03-22
14423,0001305253,2016-03-23,2024-09-30
14424,0001541157,2014-01-31,2015-09-17
14424,0001541157,2015-09-18,
14425,0001585023,2014-01-15,2018-10-31
14426,0001399529,2014-01-30,2021-12-31
14429,0000090633,1964-01-01,1967-01-30
14429,0000090633,1967-01-31,1967-12-29
14430,0000725774,1984-06-04,1986-11-17
14431,0001253689,2014-01-10,
14432,0001567514,2014-01-31,
14433,0001585583,2014-01-06,2022-03-31
14434,0001590976,2014-01-31,
14435,0001473334,2014-01-17,
14436,0001515673,2014-01-31,
14437,0000090827,1950-01-01,1962-01-30
14437,0000090827,1962-01-31,1977-01-31
14438,0000318499,1980-11-05,1991-09-30
14440,0001438533,2014-01-10,
14441,0001506439,2014-01-31,2021-09-30
14442,0001429560,2014-01-31,
14444,0001269026,2014-02-13,
14446,0000006706,1979-04-27,1985-09-30
14447,0001105533,2014-02-07,2018-04-24
14448,0001454189,2014-02-05,2015-05-29
14449,0001044378,2014-02-05,2023-10-24
14450,0001578348,2014-02-06,
14451,0001367920,2014-02-13,2023-03-31
14452,0001485003,2014-02-06,
14455,0001586105,2014-02-06,2018-09-18
14456,0000827871,2014-02-12,
14457,0001419600,2014-02-12,2021-11-30
14458,0001457612,2014-02-05,2022-06-02
14459,0001294133,2014-02-14,
14461,0000091741,1960-01-01,1965-01-28
14461,0000091741,1965-01-29,2012-01-31
14462,0000315645,1980-07-14,1984-11-30
14463,0001004945,2014-02-27,2015-10-09
14464,0001578735,2014-02-20,2020-12-31
14465,0001338095,2014-02-11,2017-05-31
14466,0001590560,2014-02-05,
14467,0001479290,2014-02-06,2025-02-28
14468,0001533040,2014-02-11,
14469,0001554859,2014-02-21,2016-08-10
14469,0001554859,2021-09-28,
14470,0001591877,2014-02-07,2016-09-26
14471,0001360683,2014-02-12,2016-09-30
14472,0001361113,2014-02-28,
14478,0001592480,2014-02-05,2020-01-31
14479,0001580905,2014-02-13,
14487,0001587523,2014-03-03,
14489,0001577670,2014-02-06,
14490,0001579684,2014-02-14,
14493,0001464591,2014-02-07,
14495,0001580808,2014-03-21,
14496,0000732639,1957-01-01,1962-01-30
14496,0000732639,1962-01-31,1983-12-23
14497,0001388320,2014-03-26,
14498,0001372414,2014-03-28,2019-08-30
14499,0001314223,2014-03-21,2019-07-31
14500,0001442626,2014-03-28,2022-10-31
14502,0001433714,2014-03-14,2022-02-28
14503,0001579877,2014-03-28,
14504,0001115128,2014-03-07,2023-09-29
14505,0001592000,2014-03-10,2025-01-31
14506,0001358483,2014-03-28,2016-12-30
14507,0001589420,2014-03-27,2024-05-31
14509,0000092275,1957-01-01,1962-01-30
14509,0000092275,1962-01-31,1982-05-31
14510,0000006831,1973-07-09,1976-12-31
14514,0001582817,2014-03-27,2020-05-29
14516,0001410384,2014-03-20,
14520,0001508655,2014-03-21,
14521,0000937098,2014-03-27,
14522,0001580345,2014-03-06,
14523,0001347858,2014-03-11,
14524,0001580732,2014-03-26,2016-02-29
14525,0000092879,1950-04-01,1962-01-30
14525,0000092879,1962-01-31,1986-09-30
14526,0000006845,1973-01-31,
14527,0001492966,2014-03-26,2017-09-29
14528,0001273636,2014-03-27,2022-12-30
14530,0001301501,2014-03-12,2021-06-30
14531,0001517022,2014-03-20,
14532,0001591588,2014-03-17,
14533,0000353001,1950-01-01,1962-01-30
14533,0000353001,1962-01-31,1981-07-02
14535,0001404644,2014-03-07,
14536,0001133818,2014-03-10,2025-02-18
14537,0001277141,2014-03-21,2015-06-30
14538,0001497504,2014-03-13,2017-04-19
14538,0001497504,2017-04-20,2023-09-30
14540,0001595353,2014-03-13,
14541,0000093410,1950-01-01,1962-01-30
14541,0000093410,1962-01-31,
14542,0001652044,2014-04-03,
14543,0001589526,2014-03-10,2015-02-27
14543,0001589526,2015-03-02,
14544,0000799288,2014-04-07,
14545,0001535955,2014-03-21,
14546,0001593984,2014-03-20,
14547,0001591698,2014-03-19,
14548,0001289636,2014-03-27,2025-01-31
14550,0001588972,2014-03-07,2024-04-30
14551,0001574235,2014-03-21,2015-06-15
14551,0001574235,2015-06-16,
14552,0001557421,2014-03-14,2018-02-28
14553,0001329799,2014-03-27,2015-10-30
14554,0001459417,2014-03-28,2024-09-30
14555,0001513818,2014-03-21,2024-01-31
14556,0001575793,2014-03-28,
14558,0000040729,2014-04-10,
14559,0001593222,2014-04-15,
14564,0001591763,2014-04-11,2021-12-03
14565,0001422183,2014-04-16,
14566,0001591670,2014-04-11,
14567,0001594109,2014-04-04,2021-06-30
14569,0000006857,1973-10-01,1979-01-30
14569,0000006857,1979-01-31,1981-08-31
14570,0001595262,2014-04-04,2016-09-30
14572,0001596856,2014-04-17,
14573,0001707178,2014-04-09,2018-05-30
14574,0001596967,2014-04-16,
14575,0001474464,2014-04-15,2018-11-05
14578,0001412043,2014-04-04,2016-06-30
14579,0001590955,2014-04-15,
14580,0001595974,2014-04-02,
14588,0001594879,2014-04-11,2018-11-30
14589,0001328143,2014-04-10,2021-11-30
14590,0001592016,2014-04-07,2023-04-28
14591,0001401914,2014-04-10,2017-07-19
14591,0001401914,2017-07-20,
14592,0000094130,1950-01-01,1962-01-30
14592,0000094130,1962-01-31,1988-03-31
14593,0000320193,1980-12-12,
14594,0001594337,2014-04-03,2018-11-30
14595,0001597426,2014-04-25,
14596,0001288847,2014-04-04,
14597,0001411488,2014-04-01,2014-05-31
14597,0001411488,2014-06-01,2015-04-30
14597,0001411488,2015-05-01,2015-05-29
14598,0001499875,2014-04-07,2015-01-30
14599,0001145255,2014-04-28,
14600,0001524190,2014-04-09,2019-01-31
14601,0001593538,2014-05-01,
14602,0001697463,2014-04-16,2020-06-30
14603,0001069899,2014-04-11,
14604,0001056943,2014-04-02,
14607,0001591890,2014-04-01,2024-02-29
14607,0001591890,2024-03-01,
14608,0001597033,2014-04-17,
14609,0001132105,2014-04-17,
14610,0001529113,2014-04-10,
14611,0001592560,2014-04-03,
14612,0001432732,2014-04-16,2016-02-29
14614,0000714277,1983-03-03,1989-05-31
14615,0001280776,2014-04-17,2019-04-14
14615,0001280776,2019-04-15,
14616,0001595761,2014-04-17,
14617,0001176948,2014-05-02,
14618,0001597835,2014-05-08,
14619,0001590584,2014-06-02,
14622,0000719545,1983-06-29,1993-02-26
14625,0001598665,2014-05-23,
14630,0001597680,2014-05-16,2020-04-30
14632,0001599617,2014-06-02,
14633,0001582568,2014-05-09,2022-12-30
14634,0001594466,2014-05-23,2021-01-29
14636,0001600422,2014-05-23,2024-08-30
14637,0001591517,2014-06-09,2018-01-31
14638,0001594686,2014-05-29,2021-10-29
14641,0001463172,2014-05-15,2022-11-30
14642,0001596993,2014-05-08,
14643,0001598655,2014-05-07,2023-07-31
14644,0001578620,2014-05-09,2020-01-31
14645,0001261249,2014-05-23,2024-03-25
14646,0001423824,2014-05-08,2019-10-31
14647,0001341235,2014-05-02,
14649,0000317229,1983-07-07,1986-07-31
14650,0001505732,2014-05-15,
14651,0001590717,2014-06-03,
14653,0000700565,2014-05-12,
14654,0001592379,2014-05-02,2019-05-31
14655,0001549802,2014-05-22,
14656,0000095304,1950-01-01,1962-01-30
14656,0000095304,1962-01-31,
14657,0000721671,1983-08-04,1988-09-02
14658,0001499807,2014-05-08,2018-11-30
14660,0001399708,2014-05-21,2023-04-28
14660,0001399708,2014-05-21,2023-04-28
14661,0001584831,2014-05-09,
14663,0001442236,2014-05-19,
14665,0000728398,1983-11-18,1989-12-28
14666,0001596946,2014-05-27,2023-06-30
14667,0001579910,2014-05-29,2022-03-31
14668,0001178253,2014-05-02,
14669,0001585854,2014-05-22,2016-12-30
14670,0001430723,2014-05-14,
14673,0000225049,1980-07-22,1981-12-31
14674,0001583107,2014-06-03,
14675,0001537435,2014-05-20,2020-06-08
14675,0001537435,2020-06-10,2020-06-18
14675,0001537435,2025-05-06,
14676,0001597095,2014-05-09,
14677,0001327318,2014-05-16,
14682,0001597672,2014-06-30,
14683,0001532930,2014-07-01,2016-05-16
14684,0001598428,2014-07-01,
14685,0001704720,2014-07-01,2017-11-17
14686,0001597503,2014-07-01,2017-01-10
14686,0001679688,2017-01-11,
14687,0001601072,2014-06-13,
14688,0001297184,2014-06-25,
14689,0000738214,2014-06-06,
14690,0001437402,2014-06-19,
14691,0001042074,2014-06-18,2024-03-28
14692,0001539042,2014-06-13,2014-11-13
14693,0001378624,2014-06-18,2021-02-26
14694,0001500435,2014-06-26,
14695,0001510580,2014-06-20,2017-10-31
14696,0001593936,2014-06-27,2021-04-30
14697,0001470099,2014-06-12,2020-12-31
14698,0001496371,2014-06-27,2018-06-29
14702,0000006951,1972-12-14,
14703,0001599222,2014-06-13,2016-09-30
14704,0001598014,2014-06-19,2016-07-12
14704,0001598014,2016-07-13,2022-03-02
14705,0001091223,2014-06-25,
14706,0001603429,2014-06-18,2016-12-30
14707,0001428522,2014-06-06,2022-08-31
14708,0001590750,2014-06-18,2017-02-13
14708,0001590750,2017-02-14,
14709,0001440292,2014-06-04,2016-02-18
14710,0001510593,2014-06-24,
14711,0001374690,2014-06-19,2020-05-28
14711,0001374690,2020-05-29,
14712,0001459266,2014-06-18,2015-12-31
14713,0001602367,2014-06-25,2017-09-30
14714,0001596532,2014-06-06,
14715,0001145986,2014-06-13,
14716,0001576940,2014-06-18,
14717,0001367311,2014-06-17,2016-06-30
14719,0001600470,2014-06-20,2020-11-13
14720,0000008504,2014-06-17,2018-03-26
14720,0000008504,2018-03-27,
14721,0001540729,2014-06-18,2019-11-08
14722,0001585855,2014-06-24,
14723,0001328015,2014-06-25,2016-09-30
14729,0000312258,1980-01-31,1986-07-15
14734,0001603145,2014-06-27,
14735,0001514242,2014-06-20,2016-10-31
14736,0000097349,1950-01-01,1962-01-30
14736,0000097349,1962-01-31,2001-10-31
14737,0000311882,1979-09-14,1992-03-31
14750,0001428875,2014-06-26,2022-10-31
14751,0001599489,2014-07-02,2023-11-30
14752,0001811074,1972-01-01,1972-01-30
14752,0001811074,1972-01-31,2021-01-08
14753,0001378564,2014-06-12,2017-10-02
14754,0001545391,2014-06-26,2018-03-29
14755,0001519061,2014-06-12,2021-10-10
14756,0001597659,2014-06-12,2019-04-17
14756,0001597659,2019-04-18,2020-05-31
14756,0001597659,2020-06-01,2021-06-30
14759,0001604028,2014-07-25,
14760,0000097571,1950-01-01,1962-01-30
14760,0000097571,1962-01-31,1981-09-25
14761,0000007039,1976-01-01,1976-01-29
14761,0000007039,1976-01-30,2022-06-30
14763,0001596783,2014-07-31,2024-12-31
14773,0000821483,2014-07-22,
14774,0001478121,2014-07-24,2020-09-30
14776,0001601712,2014-07-31,
14777,0001604522,2014-07-29,
14778,0001499832,2014-07-24,
14780,0000317173,1980-09-15,1986-08-13
14781,0001593195,2014-08-05,2021-05-28
14782,0001371285,2014-07-18,
14783,0001604665,2014-07-30,
14784,0001594590,2014-08-04,2015-12-17
14785,0001557860,2014-07-18,
14786,0001609804,2014-07-25,
14788,0000007047,1979-01-31,1987-09-30
14789,0001607250,2014-07-31,2016-12-30
14790,0001501756,2014-07-25,
14791,0001591956,2014-07-08,
14792,0001601545,2014-07-22,
