ticker,permno,cik,member_from,member_to,source
GPN,88873,0001123360,2016-04-25,,crsp_wrds_2010_2025
GPS,59010,0000039911,2010-01-04,2022-02-02,crsp_wrds_2010_2025
GR,12140,0000042542,2010-01-04,2012-07-26,crsp_wrds_2010_2025
GRMN,88837,0001121788,2012-12-12,,crsp_wrds_2010_2025
GS,86868,0000886982,2010-01-04,,crsp_wrds_2010_2025
GT,16432,0000042582,2010-01-04,2019-02-26,crsp_wrds_2010_2025
GTX,18065,0001735707,2018-10-01,2018-10-01,crsp_wrds_2010_2025
GWW,52695,0000277135,2010-01-04,,crsp_wrds_2010_2025
HAL,23819,0000045012,2010-01-04,,crsp_wrds_2010_2025
HAR,75224,0000800459,2010-01-04,2017-03-10,crsp_wrds_2010_2025
HAS,52978,0000046080,2010-01-04,,crsp_wrds_2010_2025
HBAN,42906,0000049196,2010-01-04,,crsp_wrds_2010_2025
HBI,91416,0001359841,2015-03-23,2021-12-17,crsp_wrds_2010_2025
HCA,12622,0000860730,2015-01-27,,crsp_wrds_2010_2025
HCBK,87070,0000921847,2010-01-04,2015-10-30,crsp_wrds_2010_2025
HCN,65947,0000766704,2010-01-04,2018-02-27,crsp_wrds_2010_2025
HCP,67598,0000765880,2010-01-04,2019-11-04,crsp_wrds_2010_2025
HD,66181,0000354950,2010-01-04,,crsp_wrds_2010_2025
HES,28484,0000004447,2010-01-04,2025-07-17,crsp_wrds_2010_2025
HFC,32803,0000048039,2018-06-18,2021-06-03,crsp_wrds_2010_2025
HIG,82775,0000874766,2010-01-04,,crsp_wrds_2010_2025
HII,12623,0001501585,2018-01-03,,crsp_wrds_2010_2025
HLT,14338,0001585689,2017-06-19,,crsp_wrds_2010_2025
HNZ,23077,0000046640,2010-01-04,2013-06-06,crsp_wrds_2010_2025
HOG,70033,0000793952,2010-01-04,2020-06-19,crsp_wrds_2010_2025
HOLX,76095,0000859737,2016-03-30,,crsp_wrds_2010_2025
HON,10145,0000773840,2010-01-04,,crsp_wrds_2010_2025
HOOD,21723,0001783879,2025-09-22,,crsp_wrds_2010_2025
HOT,91207,0000316206,2010-01-04,2016-09-22,crsp_wrds_2010_2025
HP,32707,0000046765,2010-03-01,2020-05-21,crsp_wrds_2010_2025
HPE,15707,0001645590,2015-11-02,,crsp_wrds_2010_2025
HPQ,27828,0000047217,2010-01-04,,crsp_wrds_2010_2025
HRB,49373,0000012659,2010-01-04,2020-09-18,crsp_wrds_2010_2025
HRL,32870,0000048465,2010-01-04,,crsp_wrds_2010_2025
HRS,25582,0000202058,2010-01-04,2019-06-28,crsp_wrds_2010_2025
HSIC,82581,0001000228,2015-03-18,,crsp_wrds_2010_2025
HSP,90110,0001274057,2010-01-04,2015-09-02,crsp_wrds_2010_2025
HST,46703,0001070750,2010-01-04,,crsp_wrds_2010_2025
HSY,16600,0000047111,2010-01-04,,crsp_wrds_2010_2025
HUBB,32942,0000048898,2023-10-18,,crsp_wrds_2010_2025
HUM,48653,0000049071,2010-01-04,,crsp_wrds_2010_2025
HWM,24643,0000004281,2020-04-01,,crsp_wrds_2010_2025
IBKR,92043,0001381197,2025-08-28,,crsp_wrds_2010_2025
IBM,12490,0000051143,2010-01-04,,crsp_wrds_2010_2025
ICE,90993,0001571949,2010-01-04,,crsp_wrds_2010_2025
IDXX,76709,0000874716,2017-01-05,,crsp_wrds_2010_2025
IEX,75591,0000832101,2019-08-09,,crsp_wrds_2010_2025
IFF,40272,0000051253,2010-01-04,,crsp_wrds_2010_2025
IGT,45277,0000353944,2010-01-04,2014-06-20,crsp_wrds_2010_2025
IILG,92772,0001434620,2016-05-13,2016-05-13,crsp_wrds_2010_2025
ILMN,88446,0001110803,2015-11-19,2024-06-21,crsp_wrds_2010_2025
INCY,79906,0000879169,2017-02-28,,crsp_wrds_2010_2025
INFO,14704,0001598014,2017-06-02,2022-02-25,crsp_wrds_2010_2025
INTC,59328,0000050863,2010-01-04,,crsp_wrds_2010_2025
INTU,78975,0000896878,2010-01-04,,crsp_wrds_2010_2025
INVH,16581,0001687229,2022-09-19,,crsp_wrds_2010_2025
IP,21573,0000051434,2010-01-04,,crsp_wrds_2010_2025
IPG,53065,0000051644,2010-01-04,2025-11-26,crsp_wrds_2010_2025
IPGP,91668,0001111928,2018-03-07,2022-06-17,crsp_wrds_2010_2025
IQV,13911,0001478242,2017-11-15,,crsp_wrds_2010_2025
IR,12431,0001466258,2010-11-17,2020-02-28,crsp_wrds_2010_2025
IR,16692,0001699150,2020-03-03,,crsp_wrds_2010_2025
IRM,83143,0001020569,2010-01-04,,crsp_wrds_2010_2025
ISRG,88352,0001035267,2010-01-04,,crsp_wrds_2010_2025
IT,79698,0000749251,2017-04-05,,crsp_wrds_2010_2025
ITT,12570,0000216228,2010-01-04,2011-10-31,crsp_wrds_2010_2025
ITW,56573,0000049826,2010-01-04,,crsp_wrds_2010_2025
IVZ,19583,0000914208,2010-01-04,,crsp_wrds_2010_2025
J,52329,0000052988,2019-12-10,,crsp_wrds_2010_2025
JAVA,10078,0000709519,2010-01-04,2010-01-26,crsp_wrds_2010_2025
JBHT,42877,0000728535,2015-07-01,,crsp_wrds_2010_2025
JBL,79094,0000898293,2010-01-04,2014-11-04,crsp_wrds_2010_2025
JBL,79094,0000898293,2023-12-18,,crsp_wrds_2010_2025
JCI,42534,0000833444,2010-01-04,2016-09-02,crsp_wrds_2010_2025
JCI,45356,0000833444,2016-09-06,,crsp_wrds_2010_2025
JCP,18403,0001166126,2010-01-04,2013-11-29,crsp_wrds_2010_2025
JDSU,79879,0000912093,2010-01-04,2013-12-20,crsp_wrds_2010_2025
JEC,52329,0000052988,2010-01-04,2019-12-09,crsp_wrds_2010_2025
JEF,20415,0000096223,2018-05-24,2019-09-25,crsp_wrds_2010_2025
JKHY,88664,0000779152,2018-11-13,,crsp_wrds_2010_2025
JNJ,22111,0000200406,2010-01-04,,crsp_wrds_2010_2025
JNPR,86979,0001043604,2010-01-04,2025-07-01,crsp_wrds_2010_2025
JNS,88313,0001065865,2010-01-04,2011-11-22,crsp_wrds_2010_2025
JOY,89105,0000801898,2011-12-06,2015-10-07,crsp_wrds_2010_2025
JOYG,89105,0000801898,2011-02-28,2011-12-05,crsp_wrds_2010_2025
JPM,47896,0000019617,2010-01-04,,crsp_wrds_2010_2025
JWN,57817,0000072333,2010-01-04,2020-06-19,crsp_wrds_2010_2025
K,26825,0000055067,2010-01-04,2025-12-10,crsp_wrds_2010_2025
KDP,17942,0001418135,2022-06-21,,crsp_wrds_2010_2025
KEY,64995,0000091576,2010-01-04,,crsp_wrds_2010_2025
KEYS,14939,0001601046,2018-11-06,,crsp_wrds_2010_2025
KFT,89006,0001103982,2010-01-04,2012-10-01,crsp_wrds_2010_2025
KG,86176,0001047699,2010-01-04,2010-12-17,crsp_wrds_2010_2025
KHC,15408,0001637459,2015-07-06,,crsp_wrds_2010_2025
KIM,77129,0000879101,2010-01-04,,crsp_wrds_2010_2025
KKR,11990,0001404912,2024-06-24,,crsp_wrds_2010_2025
KLAC,46886,0000319201,2010-01-04,,crsp_wrds_2010_2025
KLG,24175,0001959348,2023-10-02,2023-10-02,crsp_wrds_2010_2025
KMB,17750,0000055785,2010-01-04,,crsp_wrds_2010_2025
KMI,12558,0001506307,2012-05-25,,crsp_wrds_2010_2025
KMX,89508,0001170010,2010-06-28,2025-10-30,crsp_wrds_2010_2025
KO,11308,0000021344,2010-01-04,,crsp_wrds_2010_2025
KORS,13142,0001530721,2013-11-13,2018-12-31,crsp_wrds_2010_2025
KR,16678,0000056873,2010-01-04,,crsp_wrds_2010_2025
KRFT,13598,0001545158,2012-10-02,2015-07-02,crsp_wrds_2010_2025
KSS,77606,0000885639,2010-01-04,2020-09-18,crsp_wrds_2010_2025
KSU,12650,0000054480,2013-05-24,2021-12-13,crsp_wrds_2010_2025
KTB,18578,0001760965,2019-05-23,2019-05-23,crsp_wrds_2010_2025
KVUE,23876,0001944048,2023-08-25,,crsp_wrds_2010_2025
L,26710,0000060086,2010-01-04,,crsp_wrds_2010_2025
LB,64282,0000701985,2013-12-02,2021-08-02,crsp_wrds_2010_2025
LDOS,91547,0001336920,2019-08-09,,crsp_wrds_2010_2025
LEG,60943,0000058492,2010-01-04,2021-12-17,crsp_wrds_2010_2025
LEN,52708,0000920760,2010-01-04,,crsp_wrds_2010_2025
LH,12062,0000920148,2010-01-04,,crsp_wrds_2010_2025
LHX,25582,0000202058,2019-07-01,,crsp_wrds_2010_2025
LIFE,86725,0001073431,2010-01-04,2014-01-23,crsp_wrds_2010_2025
LII,87034,0001069202,2024-12-23,,crsp_wrds_2010_2025
LIN,18143,0001707925,2018-10-31,,crsp_wrds_2010_2025
LKQ,89866,0001065696,2016-05-23,2025-12-19,crsp_wrds_2010_2025
LLL,86021,0001039101,2010-01-04,2019-06-28,crsp_wrds_2010_2025
LLTC,10299,0000791907,2010-01-04,2017-03-10,crsp_wrds_2010_2025
LLY,50876,0000059478,2010-01-04,,crsp_wrds_2010_2025
LM,65330,0000704051,2010-01-04,2016-12-01,crsp_wrds_2010_2025
LMT,21178,0000936468,2010-01-04,,crsp_wrds_2010_2025
LNC,49015,0000059558,2010-01-04,2023-09-15,crsp_wrds_2010_2025
LNT,58819,0000352541,2016-07-01,,crsp_wrds_2010_2025
LO,17279,0001424847,2010-01-04,2015-06-11,crsp_wrds_2010_2025
LOW,61399,0000060667,2010-01-04,,crsp_wrds_2010_2025
LRCX,48486,0000707549,2012-06-05,,crsp_wrds_2010_2025
LSI,48267,0000703360,2010-01-04,2014-05-06,crsp_wrds_2010_2025
LTD,64282,0000701985,2010-01-04,2013-11-29,crsp_wrds_2010_2025
LUK,20415,0000096223,2010-01-04,2018-05-23,crsp_wrds_2010_2025
LULU,92203,0001397187,2023-10-18,,crsp_wrds_2010_2025
LUMN,60599,0000018926,2020-09-18,2023-03-17,crsp_wrds_2010_2025
LUV,58683,0000092380,2010-01-04,,crsp_wrds_2010_2025
LVLT,85991,0000794323,2014-11-05,2017-10-12,crsp_wrds_2010_2025
LVS,90505,0001300514,2019-10-03,,crsp_wrds_2010_2025
LW,16431,0001679273,2016-11-10,2016-11-10,crsp_wrds_2010_2025
LW,16431,0001679273,2018-12-03,,crsp_wrds_2010_2025
LXK,82643,0001001288,2010-01-04,2012-09-28,crsp_wrds_2010_2025
LYB,12345,0001489393,2012-09-05,,crsp_wrds_2010_2025
LYV,91041,0001335258,2019-12-23,,crsp_wrds_2010_2025
M,77462,0000794367,2010-01-04,2020-04-03,crsp_wrds_2010_2025
MA,91233,0001141391,2010-01-04,,crsp_wrds_2010_2025
MAA,80183,0000912595,2016-12-02,,crsp_wrds_2010_2025
MAC,80399,0000912242,2013-05-09,2019-12-20,crsp_wrds_2010_2025
MAR,85913,0001048286,2010-01-04,,crsp_wrds_2010_2025
MAS,34032,0000062996,2010-01-04,,crsp_wrds_2010_2025
MAT,39538,0000063276,2010-01-04,2019-06-06,crsp_wrds_2010_2025
MBC,23568,0001941365,2022-12-15,2022-12-16,crsp_wrds_2010_2025
MCD,43449,0000063908,2010-01-04,,crsp_wrds_2010_2025
MCHP,78987,0000827054,2010-01-04,,crsp_wrds_2010_2025
MCK,81061,0000927653,2010-01-04,,crsp_wrds_2010_2025
MCO,48506,0001059556,2010-01-04,,crsp_wrds_2010_2025
MDLZ,89006,0001103982,2012-10-02,,crsp_wrds_2010_2025
MDP,42796,0000065011,2010-01-04,2011-01-03,crsp_wrds_2010_2025
MDT,60097,0001613103,2010-01-04,,crsp_wrds_2010_2025
MEE,26382,0000037748,2010-01-04,2011-06-01,crsp_wrds_2010_2025
MET,87842,0001099219,2010-01-04,,crsp_wrds_2010_2025
META,13407,0001326801,2022-06-09,,crsp_wrds_2010_2025
MFE,77976,0000890801,2010-01-04,2011-02-28,crsp_wrds_2010_2025
MGM,11891,0000789570,2017-07-26,,crsp_wrds_2010_2025
MHFI,17478,0000064040,2013-05-14,2016-04-27,crsp_wrds_2010_2025
MHK,77496,0000851968,2013-12-23,2025-12-19,crsp_wrds_2010_2025
MHP,17478,0000064040,2010-01-04,2013-05-13,crsp_wrds_2010_2025
MHS,89813,0001170650,2010-01-04,2012-03-30,crsp_wrds_2010_2025
MI,51706,0001399315,2010-01-04,2011-07-05,crsp_wrds_2010_2025
MIL,54181,0000066479,2010-01-04,2010-07-14,crsp_wrds_2010_2025
MJN,92890,0001452575,2010-01-04,2017-06-14,crsp_wrds_2010_2025
MKC,52090,0000063754,2010-01-04,,crsp_wrds_2010_2025
MKTX,90454,0001278021,2019-07-01,2025-09-19,crsp_wrds_2010_2025
MLM,80204,0000916076,2014-07-02,,crsp_wrds_2010_2025
MMC,45751,0000062709,2010-01-04,,crsp_wrds_2010_2025
MMI,12456,0001495569,2011-01-04,2012-05-21,crsp_wrds_2010_2025
MMM,22592,0000066740,2010-01-04,,crsp_wrds_2010_2025
MNK,14011,0001567892,2014-08-19,2017-07-25,crsp_wrds_2010_2025
MNST,88031,0000865752,2012-06-29,,crsp_wrds_2010_2025
MO,13901,0000764180,2010-01-04,,crsp_wrds_2010_2025
MOH,89781,0001179929,2022-03-02,,crsp_wrds_2010_2025
MOLX,54827,0000067472,2010-01-04,2013-12-06,crsp_wrds_2010_2025
MON,88668,0001110783,2010-01-04,2018-06-06,crsp_wrds_2010_2025
MOS,90386,0001285785,2011-09-26,,crsp_wrds_2010_2025
MOT,22779,0000068505,2010-01-04,2011-01-03,crsp_wrds_2010_2025
MPC,12872,0001510295,2011-07-01,,crsp_wrds_2010_2025
MPWR,90455,0001280452,2021-02-12,,crsp_wrds_2010_2025
MRK,22752,0000310158,2010-01-04,,crsp_wrds_2010_2025
MRNA,18312,0001682852,2021-07-21,,crsp_wrds_2010_2025
MRO,15069,0000101778,2010-01-04,2024-11-21,crsp_wrds_2010_2025
MS,69032,0000895421,2010-01-04,,crsp_wrds_2010_2025
MSCI,92402,0001408198,2018-04-04,,crsp_wrds_2010_2025
MSFT,10107,0000789019,2010-01-04,,crsp_wrds_2010_2025
MSI,22779,0000068505,2011-01-04,,crsp_wrds_2010_2025
MTB,35554,0000036270,2010-01-04,,crsp_wrds_2010_2025
MTCH,15850,0000891103,2021-09-20,,crsp_wrds_2010_2025
MTD,85621,0001037646,2016-09-06,,crsp_wrds_2010_2025
MU,53613,0000723125,2010-01-04,,crsp_wrds_2010_2025
MUR,28345,0000717423,2010-01-04,2017-07-25,crsp_wrds_2010_2025
MWV,21186,0001159297,2010-01-04,2015-07-01,crsp_wrds_2010_2025
MWW,84342,0001020416,2010-01-04,2011-12-16,crsp_wrds_2010_2025
MXIM,11896,0000743316,2018-12-03,2021-08-25,crsp_wrds_2010_2025
MYL,69550,0000069499,2010-01-04,2015-02-26,crsp_wrds_2010_2025
MYL,69550,0001623613,2015-02-27,2020-11-16,crsp_wrds_2010_2025
NAVI,14601,0001593538,2014-05-01,2018-06-04,crsp_wrds_2010_2025
NBL,61815,0000072207,2010-01-04,2020-10-02,crsp_wrds_2010_2025
NBR,29102,0001163739,2010-01-04,2015-03-20,crsp_wrds_2010_2025
NCLH,13760,0001513761,2017-10-13,,crsp_wrds_2010_2025
NDAQ,90601,0001120193,2010-01-04,,crsp_wrds_2010_2025
NDSN,57809,0000072331,2022-02-15,,crsp_wrds_2010_2025
NE,90537,0001458891,2011-01-18,2015-07-17,crsp_wrds_2010_2025
NEE,24205,0000753308,2010-06-23,,crsp_wrds_2010_2025
NEM,21207,0001164727,2010-01-04,,crsp_wrds_2010_2025
NFLX,89393,0001065280,2010-12-20,,crsp_wrds_2010_2025
NFX,79915,0000912750,2010-12-20,2019-02-13,crsp_wrds_2010_2025
NGVT,16044,0001653477,2016-05-16,2016-05-16,crsp_wrds_2010_2025
NI,38762,0001111711,2010-01-04,,crsp_wrds_2010_2025
NKE,57665,0000320187,2010-01-04,,crsp_wrds_2010_2025
NKTR,80539,0000906709,2018-03-19,2019-10-02,crsp_wrds_2010_2025
NLOK,75607,0000849399,2019-11-05,2022-11-07,crsp_wrds_2010_2025
NLSN,12542,0001492633,2013-07-09,2022-10-11,crsp_wrds_2010_2025
NOC,24766,0001133421,2010-01-04,,crsp_wrds_2010_2025
NOV,84032,0001021860,2010-01-04,2021-09-17,crsp_wrds_2010_2025
NOVL,90609,0000758004,2010-01-04,2011-04-27,crsp_wrds_2010_2025
NOW,13447,0001373715,2019-11-21,,crsp_wrds_2010_2025
NRG,90071,0001013871,2010-01-29,,crsp_wrds_2010_2025
NSC,64311,0000702165,2010-01-04,,crsp_wrds_2010_2025
NSM,51377,0000070530,2010-01-04,2011-09-23,crsp_wrds_2010_2025
NTAP,82598,0001002047,2010-01-04,,crsp_wrds_2010_2025
NTRS,58246,0000073124,2010-01-04,,crsp_wrds_2010_2025
NU,44206,0000072741,2010-01-04,2015-02-18,crsp_wrds_2010_2025
NUE,34817,0000073309,2010-01-04,,crsp_wrds_2010_2025
NVDA,86580,0001045810,2010-01-04,,crsp_wrds_2010_2025
NVLS,12067,0000836106,2010-01-04,2012-06-04,crsp_wrds_2010_2025
NVR,79785,0000906163,2019-09-26,,crsp_wrds_2010_2025
NWL,60986,0000814453,2010-01-04,2023-09-15,crsp_wrds_2010_2025
NWS,13964,0001564708,2015-09-21,,crsp_wrds_2010_2025
NWSA,90441,0001308161,2010-01-04,2013-06-28,crsp_wrds_2010_2025
NWSA,13963,0001564708,2013-07-01,,crsp_wrds_2010_2025
NXPI,12084,0001413447,2021-03-22,,crsp_wrds_2010_2025
NYT,47466,0000071691,2010-01-04,2010-12-17,crsp_wrds_2010_2025
NYX,91143,0001368007,2010-01-04,2013-11-12,crsp_wrds_2010_2025
O,81045,0000726728,2015-04-07,,crsp_wrds_2010_2025
ODFL,77037,0000878927,2019-12-09,,crsp_wrds_2010_2025
ODP,75573,0000800240,2010-01-04,2010-12-17,crsp_wrds_2010_2025
OGN,21124,0001821825,2021-06-03,2023-10-17,crsp_wrds_2010_2025
OI,77157,0000812074,2010-01-04,2016-12-01,crsp_wrds_2010_2025
OKE,25232,0001039684,2010-03-15,,crsp_wrds_2010_2025
OMC,30681,0000029989,2010-01-04,,crsp_wrds_2010_2025
ON,88182,0001097864,2022-06-21,,crsp_wrds_2010_2025
ORCL,10104,0001341439,2010-01-04,,crsp_wrds_2010_2025
ORLY,79103,0000898173,2010-01-04,,crsp_wrds_2010_2025
OTIS,19286,0001781335,2020-04-03,,crsp_wrds_2010_2025
OXY,34833,0000797468,2010-01-04,,crsp_wrds_2010_2025
PANW,13511,0001327567,2023-06-20,,crsp_wrds_2010_2025
PARA,76226,0000813828,2022-02-17,2025-08-06,crsp_wrds_2010_2025
PAYC,14579,0001590955,2020-01-28,,crsp_wrds_2010_2025
PAYX,61621,0000723531,2010-01-04,,crsp_wrds_2010_2025
PBCT,12073,0001378946,2010-01-04,2022-04-01,crsp_wrds_2010_2025
PBG,86756,0001076405,2010-01-04,2010-02-26,crsp_wrds_2010_2025
PBI,24459,0000078814,2010-01-04,2017-02-28,crsp_wrds_2010_2025
PCAR,60506,0000075362,2010-01-04,,crsp_wrds_2010_2025
PCG,13688,0001004980,2010-01-04,2019-01-17,crsp_wrds_2010_2025
PCG,13688,0001004980,2022-10-03,,crsp_wrds_2010_2025
PCL,75592,0000849213,2010-01-04,2016-02-19,crsp_wrds_2010_2025
PCLN,86783,0001075531,2010-01-04,2018-02-26,crsp_wrds_2010_2025
PCP,63830,0000079958,2010-01-04,2016-01-29,crsp_wrds_2010_2025
PCS,91937,0001283699,2010-01-04,2013-04-30,crsp_wrds_2010_2025
PDCO,78034,0000891024,2010-01-04,2018-03-16,crsp_wrds_2010_2025
PEAK,67598,0000765880,2019-11-05,2024-03-01,crsp_wrds_2010_2025
PEG,23712,0000788784,2010-01-04,,crsp_wrds_2010_2025
PENN,80563,0000921738,2021-03-22,2022-09-16,crsp_wrds_2010_2025
PEP,13856,0000077476,2010-01-04,,crsp_wrds_2010_2025
PETM,79411,0000863157,2012-10-05,2015-03-11,crsp_wrds_2010_2025
PFE,21936,0000078003,2010-01-04,,crsp_wrds_2010_2025
PFG,89195,0001126328,2010-01-04,,crsp_wrds_2010_2025
PG,18163,0000080424,2010-01-04,,crsp_wrds_2010_2025
PGN,23114,0001094093,2010-01-04,2012-06-29,crsp_wrds_2010_2025
PGR,64390,0000080661,2010-01-04,,crsp_wrds_2010_2025
PH,41355,0000076334,2010-01-04,,crsp_wrds_2010_2025
PHIN,23944,0001968915,2023-07-05,2023-07-05,crsp_wrds_2010_2025
PHM,54148,0000822416,2010-01-04,,crsp_wrds_2010_2025
PKG,87541,0000075677,2017-07-26,,crsp_wrds_2010_2025
PKI,42200,0000031791,2010-01-04,2023-05-15,crsp_wrds_2010_2025
PLD,80406,0001045609,2010-01-04,,crsp_wrds_2010_2025
PLL,35051,0000075829,2010-01-04,2015-08-28,crsp_wrds_2010_2025
PLTR,19788,0001321655,2024-09-23,,crsp_wrds_2010_2025
PM,92602,0001413329,2010-01-04,,crsp_wrds_2010_2025
PNC,60442,0000713676,2010-01-04,,crsp_wrds_2010_2025
PNR,13586,0000077360,2012-10-01,,crsp_wrds_2010_2025
PNW,27991,0000764622,2010-01-04,,crsp_wrds_2010_2025
PODD,92050,0001145197,2023-03-15,,crsp_wrds_2010_2025
POM,23501,0001135971,2010-01-04,2016-03-23,crsp_wrds_2010_2025
POOL,82515,0000945841,2020-10-07,,crsp_wrds_2010_2025
PPG,22509,0000079879,2010-01-04,,crsp_wrds_2010_2025
PPL,22517,0000922224,2010-01-04,,crsp_wrds_2010_2025
PRGO,77182,0000820096,2011-12-19,2013-08-27,crsp_wrds_2010_2025
PRGO,77182,0001585364,2013-08-28,2021-09-17,crsp_wrds_2010_2025
PRU,89258,0001137774,2010-01-04,,crsp_wrds_2010_2025
PSA,64653,0001393311,2010-01-04,,crsp_wrds_2010_2025
PSKY,27083,0002041610,2025-08-07,,crsp_wrds_2010_2025
PSX,13356,0001534701,2012-05-01,,crsp_wrds_2010_2025
PTC,75912,0000857005,2021-04-20,,crsp_wrds_2010_2025
PTV,87292,0001089976,2010-01-04,2010-11-16,crsp_wrds_2010_2025
PVH,13936,0000078239,2013-02-14,2022-09-16,crsp_wrds_2010_2025
PWR,85792,0001050915,2010-01-04,,crsp_wrds_2010_2025
PX,77768,0000884905,2010-01-04,2018-10-30,crsp_wrds_2010_2025
PXD,75241,0001038357,2010-01-04,2024-05-02,crsp_wrds_2010_2025
PYPL,15488,0001633917,2015-07-20,,crsp_wrds_2010_2025
Q,85032,0001037949,2010-01-04,2011-03-31,crsp_wrds_2010_2025
Q,13911,0001478242,2017-08-29,2017-11-14,crsp_wrds_2010_2025
Q,27598,0002058873,2025-11-03,,crsp_wrds_2010_2025
QCOM,77178,0000804328,2010-01-04,,crsp_wrds_2010_2025
QCP,16346,0001677203,2016-11-01,2016-11-01,crsp_wrds_2010_2025
QEP,93422,0001108827,2010-07-01,2015-06-30,crsp_wrds_2010_2025
QLGC,80266,0000918386,2010-01-04,2011-01-14,crsp_wrds_2010_2025
QRVO,85035,0001604778,2015-06-12,2024-12-20,crsp_wrds_2010_2025
R,27633,0000085961,2010-01-04,2017-06-16,crsp_wrds_2010_2025
RAI,86946,0001275283,2010-01-04,2017-07-24,crsp_wrds_2010_2025
RCL,79145,0000884887,2014-12-05,,crsp_wrds_2010_2025
RDC,45495,0000085408,2010-01-04,2014-08-18,crsp_wrds_2010_2025
RE,82303,0001095073,2017-06-19,2023-07-07,crsp_wrds_2010_2025
REG,79782,0000910606,2017-03-02,,crsp_wrds_2010_2025
REGN,76614,0000872589,2013-05-01,,crsp_wrds_2010_2025
REZI,18142,0001740332,2018-10-29,2018-10-29,crsp_wrds_2010_2025
RF,35044,0001281761,2010-01-04,,crsp_wrds_2010_2025
RHI,52230,0000315213,2010-01-04,2024-06-21,crsp_wrds_2010_2025
RHT,87184,0001087423,2010-01-04,2019-07-08,crsp_wrds_2010_2025
RIG,79237,0001451505,2013-10-29,2017-07-25,crsp_wrds_2010_2025
RJF,69649,0000720005,2017-03-20,,crsp_wrds_2010_2025
RL,85072,0001037038,2010-01-04,,crsp_wrds_2010_2025
RMD,81736,0000943819,2017-07-26,,crsp_wrds_2010_2025
ROK,84381,0001024478,2010-01-04,,crsp_wrds_2010_2025
ROL,36003,0000084839,2018-10-01,,crsp_wrds_2010_2025
ROP,77338,0000882835,2010-01-04,,crsp_wrds_2010_2025
ROST,91556,0000745732,2010-01-04,,crsp_wrds_2010_2025
RRC,50017,0000315852,2010-01-04,2018-06-15,crsp_wrds_2010_2025
RRD,38682,0000029669,2010-01-04,2012-12-11,crsp_wrds_2010_2025
RSG,86228,0001060391,2010-01-04,,crsp_wrds_2010_2025
RSH,15560,0000096289,2010-01-04,2011-06-30,crsp_wrds_2010_2025
RTN,24942,0001047122,2010-01-04,2020-04-02,crsp_wrds_2010_2025
RTX,17830,0000101829,2020-04-03,,crsp_wrds_2010_2025
RVTY,42200,0000031791,2023-05-16,,crsp_wrds_2010_2025
RX,84020,0001058083,2010-01-04,2010-02-25,crsp_wrds_2010_2025
S,39087,0000101830,2010-01-04,2013-07-08,crsp_wrds_2010_2025
SAI,91547,0001336920,2010-01-04,2013-09-20,crsp_wrds_2010_2025
SBAC,86996,0001034054,2017-09-01,,crsp_wrds_2010_2025
SBNY,90090,0001288784,2021-12-20,2023-03-10,crsp_wrds_2010_2025
SBUX,77702,0000829224,2010-01-04,,crsp_wrds_2010_2025
SCG,23085,0000754737,2010-01-04,2018-12-31,crsp_wrds_2010_2025
SCHW,75186,0000316709,2010-01-04,,crsp_wrds_2010_2025
SE,91650,0001373835,2010-01-04,2017-02-24,crsp_wrds_2010_2025
SEDG,15272,0001419612,2021-12-20,2023-12-15,crsp_wrds_2010_2025
SEE,85926,0001012100,2010-01-04,2023-12-15,crsp_wrds_2010_2025
SHLD,89757,0001310067,2010-01-04,2012-09-04,crsp_wrds_2010_2025
SHW,36468,0000089800,2010-01-04,,crsp_wrds_2010_2025
SIAL,70536,0000090185,2010-01-04,2015-11-17,crsp_wrds_2010_2025
SIG,12076,0000832988,2015-07-29,2018-03-16,crsp_wrds_2010_2025
SII,45794,0000721083,2010-01-04,2010-08-26,crsp_wrds_2010_2025
SIVB,11786,0000719739,2018-03-19,2023-03-10,crsp_wrds_2010_2025
SJM,42585,0000091419,2010-01-04,,crsp_wrds_2010_2025
SLB,14277,0000087347,2010-01-04,,crsp_wrds_2010_2025
SLE,22840,0000023666,2010-01-04,2012-06-28,crsp_wrds_2010_2025
SLG,85265,0001040971,2015-03-23,2021-03-19,crsp_wrds_2010_2025
SLM,66325,0001032033,2010-01-04,2014-04-30,crsp_wrds_2010_2025
SMCI,91907,0001375365,2024-03-18,,crsp_wrds_2010_2025
SNA,60206,0000091440,2010-01-04,,crsp_wrds_2010_2025
SNDK,82618,0001000180,2010-01-04,2016-05-11,crsp_wrds_2010_2025
SNDK,26181,0002023554,2025-11-28,,crsp_wrds_2010_2025
SNI,92709,0001430602,2010-01-04,2018-03-06,crsp_wrds_2010_2025
SNPS,77357,0000883241,2017-03-16,,crsp_wrds_2010_2025
SO,18411,0000092122,2010-01-04,,crsp_wrds_2010_2025
SOLS,27549,0002064953,2025-10-30,2025-12-19,crsp_wrds_2010_2025
SOLV,24877,0001964738,2024-04-01,,crsp_wrds_2010_2025
SPG,80100,0001063761,2010-01-04,,crsp_wrds_2010_2025
SPGI,17478,0000064040,2016-04-28,,crsp_wrds_2010_2025
SPLS,75489,0000791519,2010-01-04,2017-09-12,crsp_wrds_2010_2025
SRCL,83906,0000861878,2010-01-04,2018-11-30,crsp_wrds_2010_2025
SRE,86136,0001032208,2010-01-04,,crsp_wrds_2010_2025
STE,77649,0001757898,2019-12-23,,crsp_wrds_2010_2025
